Lyopholized in Dextranol; Stored 30 days at 45$^\circ$C,
043 20190329 Day 30 Frozen001:10_UV,
ml, mAU
0.00,5.49
0.13,-2.07
0.27,-0.49
0.40,0.14
0.53,0.55
0.67,0.35
0.80,0.23
0.93,0.14
1.07,0.09
1.20,0.13
1.33,0.04
1.47,0.03
1.60,0.04
1.73,0.03
1.87,0.05
2.00,0.02
2.13,-0.04
2.27,-0.04
2.40,0.08
2.53,-0.07
2.67,-0.06
2.80,-0.03
2.93,-0.02
3.07,0.17
3.20,-0.06
3.33,-0.06
3.47,-0.08
3.60,-0.04
3.73,-0.06
3.87,-0.09
4.00,-0.10
4.13,-0.12
4.27,-0.09
4.40,-0.07
4.53,-0.06
4.67,-0.10
4.80,-0.06
4.93,-0.09
5.07,-0.09
5.20,-0.04
5.33,-0.11
5.47,-0.13
5.60,-0.04
5.73,-0.14
5.87,-0.09
6.00,-0.06
6.13,-0.12
6.27,-0.10
6.40,-0.10
6.53,-0.13
6.67,-0.12
6.80,-0.14
6.93,-0.11
7.07,-0.15
7.20,-0.15
7.33,-0.15
7.47,-0.14
7.60,-0.17
7.73,-0.13
7.87,-0.14
8.00,-0.11
8.13,-0.11
8.27,-0.15
8.40,-0.12
8.53,-0.12
8.67,-0.17
8.80,-0.17
8.93,-0.14
9.07,-0.18
9.20,-0.15
9.33,-0.15
9.47,-0.17
9.60,-0.13
9.73,-0.17
9.87,-0.18
10.00,-0.16
10.13,-0.19
10.27,-0.20
10.40,-0.17
10.53,-0.16
10.67,-0.19
10.80,-0.19
10.93,-0.18
11.07,-0.20
11.20,-0.23
11.33,-0.19
11.47,-0.22
11.60,-0.22
11.73,-0.19
11.87,-0.23
12.00,-0.20
12.13,-0.18
12.27,-0.23
12.40,-0.04
12.53,-0.26
12.67,-0.20
12.80,-0.17
12.93,-0.24
13.07,-0.20
13.20,-0.18
13.33,-0.22
13.47,-0.15
13.60,-0.15
13.73,-0.23
13.87,-0.16
14.00,-0.17
14.13,-0.24
14.27,-0.16
14.40,-0.19
14.53,-0.22
14.67,-0.13
14.80,-0.25
14.93,-0.21
15.07,-0.13
15.20,-0.21
15.33,-0.21
15.47,-0.20
15.60,-0.25
15.73,-0.21
15.87,-0.18
16.00,-0.20
16.13,-0.20
16.27,-0.18
16.40,-0.21
16.53,-0.22
16.67,-0.16
16.80,-0.17
16.93,-0.19
17.07,-0.18
17.20,-0.18
17.33,-0.19
17.47,-0.17
17.60,-0.18
17.73,-0.19
17.87,-0.16
18.00,-0.18
18.13,-0.21
18.27,-0.18
18.40,-0.19
18.53,-0.20
18.67,-0.16
18.80,-0.22
18.93,-0.20
19.07,-0.18
19.20,-0.24
19.33,-0.18
19.47,-0.20
19.60,-0.21
19.73,-0.20
19.87,-0.21
20.00,-0.23
20.13,-0.22
20.27,-0.21
20.40,-0.22
20.53,-0.21
20.67,-0.21
20.80,-0.22
20.93,-0.26
21.07,-0.22
21.20,-0.21
21.33,-0.22
21.47,-0.22
21.60,-0.25
21.73,-0.09
21.87,-0.22
22.00,-0.22
22.13,-0.28
22.27,-0.20
22.40,-0.20
22.53,-0.25
22.67,-0.19
22.80,-0.24
22.93,-0.26
23.07,-0.20
23.20,-0.23
23.33,-0.24
23.47,-0.17
23.60,-0.23
23.73,-0.22
23.87,-0.21
24.00,-0.25
24.13,-0.25
24.27,-0.27
24.40,-0.23
24.53,-0.25
24.67,-0.23
24.80,-0.23
24.93,-0.24
25.07,-0.22
25.20,-0.22
25.33,-0.25
25.47,-0.23
25.60,-0.22
25.73,-0.25
25.87,-0.22
26.00,-0.22
26.13,-0.23
26.27,-0.26
26.40,-0.24
26.53,-0.24
26.67,-0.16
26.80,-0.11
26.93,-0.08
27.07,-0.09
27.20,-0.14
27.33,-0.13
27.47,-0.11
27.60,-0.15
27.73,-0.16
27.87,-0.16
28.00,-0.14
28.13,-0.11
28.27,-0.07
28.40,-0.04
28.53,-0.05
28.67,-0.06
28.80,-0.07
28.93,-0.12
29.07,-0.08
29.20,-0.05
29.33,-0.12
29.47,-0.08
29.60,-0.05
29.73,-0.15
29.87,-0.12
30.00,-0.10
30.13,-0.12
30.27,-0.10
30.40,-0.11
30.53,-0.15
30.67,-0.10
30.80,-0.09
30.93,-0.17
31.07,0.00
31.20,-0.11
31.33,-0.18
31.47,-0.13
31.60,-0.22
31.73,-0.14
31.87,-0.15
32.00,-0.20
32.13,-0.11
32.27,-0.14
32.40,-0.18
32.53,-0.14
32.67,-0.15
32.80,-0.15
32.93,-0.14
33.07,-0.17
33.20,-0.19
33.33,-0.19
33.47,-0.17
33.60,-0.19
33.73,-0.18
33.87,-0.15
34.00,-0.18
34.13,-0.18
34.27,-0.17
34.40,-0.22
34.53,-0.17
34.66,-0.17
34.80,-0.22
34.93,-0.18
35.06,-0.19
35.20,-0.24
35.33,-0.18
35.46,-0.22
35.60,-0.21
35.73,-0.18
35.86,-0.19
36.00,-0.22
36.13,-0.18
36.26,-0.19
36.40,-0.22
36.53,-0.17
36.66,-0.20
36.80,-0.20
36.93,-0.20
37.06,-0.24
37.20,-0.17
37.33,-0.19
37.46,-0.22
37.60,-0.21
37.73,-0.22
37.86,-0.20
38.00,-0.17
38.13,-0.17
38.26,-0.19
38.40,-0.21
38.53,-0.19
38.66,-0.22
38.80,-0.22
38.93,-0.14
39.06,-0.17
39.20,-0.17
39.33,-0.11
39.46,-0.10
39.60,-0.09
39.73,0.00
39.86,0.05
40.00,0.11
40.13,0.20
40.26,0.21
40.40,0.34
40.53,0.49
40.66,0.41
40.80,0.48
40.93,0.57
41.06,0.65
41.20,0.69
41.33,0.77
41.46,0.88
41.60,0.91
41.73,1.00
41.86,1.09
42.00,1.13
42.13,1.17
42.26,1.29
42.40,1.29
42.53,1.40
42.66,1.46
42.80,1.42
42.93,1.56
43.06,1.62
43.20,1.65
43.33,1.77
43.46,1.81
43.60,1.85
43.73,1.98
43.86,2.02
44.00,2.14
44.13,2.21
44.26,2.31
44.40,2.37
44.53,2.43
44.66,2.48
44.80,2.52
44.93,2.54
45.06,2.55
45.20,2.50
45.33,2.48
45.46,2.38
45.60,2.34
45.73,2.15
45.86,2.04
46.00,1.91
46.13,1.74
46.26,1.61
46.40,1.42
46.53,1.32
46.66,1.25
46.80,1.09
46.93,1.05
47.06,0.97
47.20,0.87
47.33,0.85
47.46,0.78
47.60,0.73
47.73,0.74
47.86,0.67
48.00,0.67
48.13,0.67
48.26,0.67
48.40,0.63
48.53,0.64
48.66,0.67
48.80,0.62
48.93,0.62
49.06,0.66
49.20,0.60
49.33,0.61
49.46,0.70
49.60,0.63
49.73,0.63
49.86,0.70
50.00,0.57
50.13,0.68
50.26,0.67
50.40,0.68
50.53,0.72
50.66,0.67
50.80,0.72
50.93,0.80
51.06,0.76
51.20,0.77
51.33,0.90
51.46,0.81
51.60,0.86
51.73,0.98
51.86,0.91
52.00,0.97
52.13,1.07
52.26,1.01
52.40,1.14
52.53,1.21
52.66,1.20
52.80,1.29
52.93,1.35
53.06,1.39
53.20,1.49
53.33,1.54
53.46,1.53
53.60,1.61
53.73,1.65
53.86,1.68
54.00,1.78
54.13,1.79
54.26,1.76
54.40,1.78
54.53,1.78
54.66,1.75
54.80,1.77
54.93,1.76
55.06,1.71
55.20,1.69
55.33,1.68
55.46,1.62
55.60,1.61
55.73,1.58
55.86,1.49
56.00,1.48
56.13,1.45
56.26,1.37
56.40,1.40
56.53,1.31
56.66,1.28
56.80,1.30
56.93,1.23
57.06,1.19
57.20,1.21
57.33,1.14
57.46,1.17
57.60,1.17
57.73,1.13
57.86,1.15
58.00,1.16
58.13,1.12
58.26,1.15
58.40,1.19
58.53,1.22
58.66,1.30
58.80,1.32
58.93,1.39
59.06,1.49
59.20,1.71
59.33,1.71
59.46,1.83
59.60,1.98
59.73,2.26
59.86,2.43
60.00,2.71
60.13,3.07
60.26,3.34
60.40,3.76
60.53,4.22
60.66,4.63
60.80,5.21
60.93,5.76
61.06,6.35
61.20,7.05
61.33,7.76
61.46,8.50
61.60,9.27
61.73,10.03
61.86,10.85
62.00,11.67
62.13,12.53
62.26,13.33
62.40,14.11
62.53,14.88
62.66,15.62
62.80,16.31
62.93,16.97
63.06,17.53
63.20,18.00
63.33,18.43
63.46,18.73
63.60,18.95
63.73,19.12
63.86,19.15
64.00,19.08
64.13,18.99
64.26,18.73
64.40,18.41
64.53,18.04
64.66,17.53
64.80,17.01
64.93,16.43
65.06,15.78
65.20,15.14
65.33,14.39
65.46,13.68
65.60,12.97
65.73,12.21
65.86,11.46
66.00,10.71
66.13,9.99
66.26,9.30
66.40,8.56
66.53,7.93
66.66,7.30
66.80,6.68
66.93,6.14
67.06,5.57
67.20,5.08
67.33,4.66
67.46,4.17
67.60,3.79
67.73,3.47
67.86,3.08
68.00,2.79
68.13,2.53
68.26,2.22
68.40,1.98
68.53,1.90
68.66,1.52
68.80,1.47
68.93,1.27
69.06,1.10
69.20,1.08
69.33,0.93
69.46,0.80
69.60,0.81
69.73,0.63
69.86,0.60
70.00,0.55
70.13,0.43
70.26,0.41
70.40,0.38
70.53,0.28
70.66,0.23
70.80,0.26
70.93,0.16
71.06,0.13
71.20,0.12
71.33,0.05
71.46,0.03
71.60,0.05
71.73,-0.02
71.86,-0.05
72.00,-0.01
72.13,-0.12
72.26,-0.09
72.40,-0.08
72.53,-0.15
72.66,-0.15
72.80,-0.13
72.93,-0.19
73.06,-0.20
73.20,-0.17
73.33,-0.27
73.46,-0.24
73.60,-0.22
73.73,-0.29
73.86,-0.26
74.00,-0.26
74.13,-0.33
74.26,-0.28
74.40,-0.30
74.53,-0.30
74.66,-0.26
74.80,-0.31
74.93,-0.33
75.06,-0.33
75.20,-0.36
75.33,-0.34
75.46,-0.38
75.60,-0.36
75.73,-0.34
75.86,-0.38
76.00,-0.37
76.13,-0.37
76.26,-0.37
76.40,-0.40
76.53,-0.40
76.66,-0.42
76.80,-0.40
76.93,-0.43
77.06,-0.41
77.20,-0.41
77.33,-0.45
77.46,-0.41
77.60,-0.44
77.73,-0.46
77.86,-0.28
78.00,-0.45
78.13,-0.47
78.26,-0.48
78.40,-0.43
78.53,-0.46
78.66,-0.48
78.80,-0.42
78.93,-0.45
79.06,-0.46
79.20,-0.43
79.33,-0.44
79.46,-0.48
79.60,-0.43
79.73,-0.48
79.86,-0.47
80.00,-0.46
80.13,-0.46
80.26,-0.50
80.40,-0.45
80.53,-0.48
80.66,-0.45
80.80,-0.47
80.93,-0.51
81.06,-0.49
81.20,-0.47
81.33,-0.51
81.46,-0.48
81.60,-0.46
81.73,-0.47
81.86,-0.47
82.00,-0.50
82.13,-0.51
82.26,-0.48
82.40,-0.47
82.53,-0.51
82.66,-0.51
82.80,-0.49
82.93,-0.49
83.06,-0.53
83.20,-0.50
83.33,-0.46
83.46,-0.51
83.60,-0.51
83.73,-0.48
83.86,-0.60
84.00,-0.54
84.13,-0.49
84.26,-0.58
84.40,-0.51
84.53,-0.53
84.66,-0.58
84.80,-0.52
84.93,-0.55
85.06,-0.55
85.20,-0.57
85.33,-0.54
85.46,-0.57
85.60,-0.55
85.73,-0.55
85.86,-0.56
86.00,-0.55
86.13,-0.55
86.26,-0.58
86.40,-0.56
86.53,-0.59
86.66,-0.61
86.80,-0.56
86.93,-0.57
87.06,-0.61
87.20,-0.44
87.33,-0.70
87.46,-0.63
87.60,-0.62
87.73,-0.65
87.86,-0.59
88.00,-0.63
88.13,-0.65
88.26,-0.61
88.40,-0.59
88.53,-0.63
88.66,-0.60
88.80,-0.60
88.93,-0.67
89.06,-0.59
89.20,-0.60
89.33,-0.67
89.46,-0.59
89.60,-0.62
89.73,-0.66
89.86,-0.56
90.00,-0.62
90.13,-0.64
90.26,-0.61
90.40,-0.66
90.53,-0.62
90.66,-0.62
90.80,-0.64
90.93,-0.66
91.06,-0.63
91.20,-0.68
91.33,-0.67
91.46,-0.66
91.60,-0.66
91.73,-0.66
91.86,-0.63
92.00,-0.67
92.13,-0.66
92.26,-0.66
92.40,-0.68
92.53,-0.69
92.66,-0.66
92.80,-0.67
92.93,-0.70
93.06,-0.64
93.20,-0.69
93.33,-0.72
93.46,-0.65
93.60,-0.70
93.73,-0.73
93.86,-0.65
94.00,-0.70
94.13,-0.69
94.26,-0.67
94.40,-0.72
94.53,-0.68
94.66,-0.68
94.80,-0.69
94.93,-0.68
95.06,-0.71
95.20,-0.75
95.33,-0.70
95.46,-0.68
95.60,-0.70
95.73,-0.69
95.86,-0.67
96.00,-0.68
96.13,-0.67
96.26,-0.70
96.40,-0.68
96.53,-0.50
96.66,-0.69
96.80,-0.71
96.93,-0.76
97.06,-0.70
97.20,-0.70
97.33,-0.82
97.46,-0.69
97.60,-0.69
97.73,-0.77
97.86,-0.73
98.00,-0.71
98.13,-0.75
98.26,-0.67
98.40,-0.73
98.53,-0.73
98.66,-0.65
98.80,-0.73
98.93,-0.69
99.06,-0.73
99.20,-0.74
99.33,-0.73
99.46,-0.73
99.60,-0.75
99.73,-0.75
99.86,-0.74
100.00,-0.76
100.13,-0.73
100.26,-0.73
100.40,-0.73
100.53,-0.73
100.66,-0.73
100.80,-0.73
100.93,-0.78
101.06,-0.73
101.20,-0.74
101.33,-0.77
101.46,-0.73
101.60,-0.76
101.73,-0.82
101.86,-0.76
102.00,-0.76
102.13,-0.78
102.26,-0.78
102.40,-0.78
102.53,-0.78
102.66,-0.76
102.80,-0.78
102.93,-0.77
103.06,-0.78
103.20,-0.76
103.33,-0.78
103.46,-0.79
103.59,-0.73
103.73,-0.79
103.86,-0.80
103.99,-0.77
104.13,-0.80
104.26,-0.79
104.39,-0.76
104.53,-0.82
104.66,-0.80
104.79,-0.77
104.93,-0.83
105.06,-0.81
105.19,-0.74
105.33,-0.84
105.46,-0.77
105.59,-0.75
105.73,-0.84
105.86,-0.62
105.99,-0.81
106.13,-0.86
106.26,-0.73
106.39,-0.83
106.53,-0.78
106.66,-0.73
106.79,-0.84
106.93,-0.78
107.06,-0.76
107.19,-0.80
107.33,-0.75
107.46,-0.74
107.59,-0.79
107.73,-0.74
107.86,-0.74
107.99,-0.79
108.13,-0.74
108.26,-0.72
108.39,-0.74
108.53,-0.71
108.66,-0.71
108.79,-0.73
108.93,-0.70
109.06,-0.69
109.19,-0.71
109.33,-0.67
109.46,-0.69
109.59,-0.71
109.73,-0.68
109.86,-0.69
109.99,-0.69
110.13,-0.61
110.26,-0.66
110.39,-0.69
110.53,-0.63
110.66,-0.64
110.79,-0.65
110.93,-0.57
111.06,-0.60
111.19,-0.61
111.33,-0.53
111.46,-0.58
111.59,-0.56
111.73,-0.50
111.86,-0.56
111.99,-0.54
112.13,-0.49
112.26,-0.55
112.39,-0.51
112.53,-0.53
112.66,-0.52
112.79,-0.52
112.93,-0.52
113.06,-0.53
113.19,-0.53
113.33,-0.54
113.46,-0.52
113.59,-0.53
113.73,-0.49
113.86,-0.54
113.99,-0.53
114.13,-0.55
114.26,-0.54
114.39,-0.55
114.53,-0.55
114.66,-0.58
114.79,-0.59
114.93,-0.60
115.06,-0.62
115.19,-0.53
115.33,-0.47
115.46,-0.66
115.59,-0.70
115.73,-0.64
115.86,-0.69
115.99,-0.65
116.13,-0.64
116.26,-0.62
116.39,-0.66
116.53,-0.61
116.66,-0.65
116.79,-0.66
116.93,-0.66
117.06,-0.65
117.19,-0.69
117.33,-0.67
117.46,-0.63
117.59,-0.66
117.73,-0.65
117.86,-0.64
117.99,-0.70
118.13,-0.65
118.26,-0.69
118.39,-0.69
118.53,-0.71
118.66,-0.68
118.79,-0.72
118.93,-0.69
119.06,-0.70
119.19,-0.70
119.33,-0.71
119.46,-0.73
119.59,-0.73
119.73,-0.70
119.86,-0.69
119.99,-0.69
120.13,-0.70
120.26,-0.71
120.39,-0.68
120.53,-0.66
120.66,-0.69
120.79,-0.66
120.93,-0.69
121.06,-0.66
121.19,-0.64
121.33,-0.67
121.46,-0.63
121.59,-0.67
121.73,-0.67
121.86,-0.62
121.99,-0.66
122.13,-0.68
122.26,-0.60
122.39,-0.68
122.53,-0.60
122.66,-0.61
122.79,-0.67
122.93,-0.68
123.06,-0.63
123.19,-0.70
123.33,-0.67
123.46,-0.62
123.59,-0.70
123.73,-0.73
123.86,-0.71
123.99,-0.77
124.13,-0.78
124.26,-0.72
124.39,-0.80
124.53,-0.79
124.66,-0.73
